Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-32.10449,166.2266,-35.47763,9.37348,142.5207,-24.91489,38.06334,128.3107,-27.25674,77.11572,-90.4126,-4.277496,5.091915,90.63927,-179.7633,-84.46942,48.97795,-139.0141,77.90831,-56.49506,24.326,5.825583,97.40703,174.692,-80.23431,-106.7643,24.66136,0.9411765,1,1,0.5254902
-30.87372,167.3542,-35.91986,10.99718,142.9503,-25.83017,40.02909,127.4243,-29.1875,77.11573,-90.4126,-4.277466,5.091919,90.63928,-179.7633,-84.46948,48.97803,-139.0141,77.90831,-56.49503,24.32601,5.825583,97.40704,174.6921,-80.23425,-106.7643,24.66137,0.9647059,1,1,0.4941176
-31.03339,167.2299,-35.854,10.76759,142.9353,-25.70074,39.73863,127.6127,-28.90048,77.11578,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46948,48.978,-139.0141,77.90826,-56.49503,24.32604,5.825582,97.40703,174.692,-80.23431,-106.7643,24.66138,0.9607843,1,1,0.4980392
-33.45242,164.8577,-35.0101,7.616225,141.8491,-23.96381,35.92579,128.9008,-25.35321,77.11572,-90.41263,-4.277496,5.091908,90.63927,-179.7633,-84.46948,48.97801,-139.0141,77.90833,-56.49503,24.32601,5.825575,97.40703,174.6921,-80.23431,-106.7642,24.66131,0.8980392,1,1,0.5882353
-36.93759,160.9167,-33.70694,2.753731,139.7255,-21.57874,29.67554,129.6828,-20.892,77.11572,-90.4126,-4.277466,5.091908,90.63927,-179.7633,-84.46948,48.97803,-139.0141,77.90831,-56.49503,24.32601,5.825583,97.40702,174.6921,-80.23425,-106.7643,24.66135,0.8509804,1,1,0.654902
-38.05905,159.4913,-33.24915,1.075982,138.8984,-20.82922,27.41881,129.6906,-19.58588,77.11573,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46942,48.97803,-139.0142,77.90829,-56.49506,24.32601,5.825581,97.40704,174.6921,-80.23428,-106.7643,24.66134,0.8313726,1,1,0.6862745
-37.9169,159.6611,-33.31146,1.319787,138.979,-20.92633,27.7664,129.6531,-19.7612,77.11575,-90.4126,-4.277466,5.091916,90.63927,-179.7633,-84.46942,48.97806,-139.0142,77.90826,-56.49503,24.32604,5.825583,97.40704,174.6921,-80.23431,-106.7643,24.66136,0.8313726,1,1,0.682353
-37.64471,160.0466,-33.41742,1.672151,139.2461,-21.10236,28.20731,129.7518,-20.04651,77.11572,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46942,48.97798,-139.0141,77.90829,-56.49506,24.32601,5.825582,97.40704,174.6921,-80.23434,-106.7642,24.66132,0.8352941,1,1,0.6745098
-37.50137,160.2129,-33.4794,1.915526,139.3224,-21.20087,28.55252,129.7063,-20.22687,77.11575,-90.41263,-4.277496,5.091912,90.63927,-179.7633,-84.46942,48.97801,-139.0141,77.90831,-56.49503,24.32601,5.825583,97.40703,174.6921,-80.23425,-106.7643,24.66137,0.8392157,1,1,0.6705883
-37.50137,160.2129,-33.4794,1.915531,139.3223,-21.20087,28.55252,129.7063,-20.22687,77.11575,-90.41263,-4.277466,5.091912,90.63927,-179.7633,-84.46948,48.97805,-139.0142,77.90831,-56.49503,24.32602,5.825587,97.40704,174.6921,-80.23425,-106.7643,24.66138,0.8392157,1,1,0.6705883
